Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;DataShuffle;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;;;;;;;;;;;;;;;;;;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;;;;;;;;;;;;;;;;
CNNLSTM;10;AdjustHair;30 min;100;100;120;30-10-2020;;;;;CNNLSTM;10;AdjustHair;30 min;100;100;120;30-10-2020;;;;;CNNLSTM;10;AdjustHair;30 min;100;100;60;31-10-2020;;;;;CNNLSTM;10;AdjustHair;30 min;100;100;30;31-10-2020;;;;;CNNLSTM;7;FastWalk;30 min;100;100;120;31-10-2020;;;CNN;7;FastWalk;30 min;100;100;120;31-10-2020;;;CNNLSTM;10;AdjustHair;10 min;100;100;120;31-10-2020;;;;;CNNLSTM;10;AdjustHair;30 min;100;100;60 (30 zeropad);31-10-2020;;;;;CNNLSTM;10;AdjustHair;20 min;100;100;120;31-10-2020;;;;;CNNLSTM;10;JumpingJacks;30 min;0.0004;100;120;31-10-2020;Yes;;;;CNNLSTM;10;AdjustHair;30 min;100;400;120;31-10-2020;;;;;CNNLSTM;31;AdjustHair;20 min;200;100;120;31-10-2020;;;;;;;;;;;;;;;;;;;;;;;;;;CNNLSTM;28;AdjustHair;20 min;200;100;30;31-10-2020;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TOTAL;MODEL;PERFORMANCE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;STATS;FOR;AdjustHair;;;;;;;;;;STATS;FOR;AdjustHair;;;;;;;;;;STATS;FOR;AdjustHair;;;;;;;;;;STATS;FOR;FastWalk;;;;;;;;STATS;FOR;FastWalk;;;;;;;;STATS;FOR;AdjustHair;;;;;;;;;;STATS;FOR;AdjustHair;;;;;;;;;;STATS;FOR;AdjustHair;;;;;;;;;;STATS;FOR;JumpingJacks;;;;;;;;;;STATS;FOR;AdjustHair;;;;;;;;;;STATS;FOR;AdjustHair;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;STATS;FOR;AdjustHair;;;;;;;;;;;;;;;;;;;;;;;
#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
456;358.7;97.3;77.61709309;0.772330456;99.31458721;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;;;;;;;;;;;;;;;;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;395;19;376;4.810126582;0.077845198;364.2511467;;;;;;;425;134;291;31.52941176;0.297891654;298.3960472;;;;;;;440;187;253;42.5;0.400477001;263.7901195;;;;;;;400;400;0;100;0.97455201;10.17919594;;;;;400;395;5;98.75;0.971025089;11.58996457;;;;;395;395;0;100;0.982477267;6.921479583;;;;;;;440;42;398;9.545454545;0.129559996;382.9936017;;;;;;;395;309;86;78.2278481;0.766070227;92.40226052;;;;;;;464;432;32;93.10344828;0.935886382;29.74871889;;;;;;;402;402;0;100;0.997656121;0.942239523;;;;;;;402;402;0;100;0.99920377;0.320084453;;;;;;;;;;;;;;;;;;;;;;;;;;;;447;409;38;91.49888143;0.89749902;45.81793806;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;AVG;Precision;For;Other;Labels;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;;;;;;;;;;;;;;
